conversation_id,turn_no,speaker,utterance,intent,price,background_data,items,negotiation_strategy_label
0,1,0,"Hello, I'm interested in a refrigerator, I need to store a lot of food and I've seen that the refrigerator you have listed has a 28 cu. ft. capacity, does it have ice maker, adjustable shelves, and a temperature controlled drawer?",Greet-Ask,53300,"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ","refrigerator, (Stand,)",active_listening
0,1,1,"Hello, the refrigerator is being sold for $68000.0 It has a 28 cu. ft. capacity, it has adjustable shelves and a temperature-controlled drawer.",Greet-Inform,68000,"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ","refrigerator, (Stand,)",leverage_information
0,2,0,I am on a tight budget. Can you sell me the refrigerator for $52600.0,Negotiate-Remove-X_Negotiate-Price-Decrease,52600,"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ",refrigerator,no_strategy
0,2,1,"Certainly! I can remove the freezer from the refrigerator and sell the unit for $52600.0, however, $52600.0 is too less. How about $67300.0",Negotiate-Price-Remove-X,67300,"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ",refrigerator,expanding_the_pie
0,3,0,I do not want to have the refrigerator delivered to my home. It's too big for my apartment. ,Negotiate-Remove-delivery,52100,"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ",refrigerator,no_strategy
0,3,1,"You don't want the refrigerator delivered to your apartment, I get it. The package will be deliver to your home only be $66800.0 it is a killer deal for the product.",Negotiate-Remove-delivery,66800,"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ",refrigerator,no_strategy
0,4,0,"$66800.0 is the maximum I can go, I will not be able to afford $52100.0",Negotiate-Price-NoChange,52100,"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ",refrigerator,no_strategy
0,4,1,"I'm sorry, but we cannot go as low as $52100.0 However, I will be willing to meet you in the middle at $61000.0",Negotiate-Price-Increase,61000,"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ",refrigerator,gradual_concession_making
0,5,0,How large is the ice maker in this refrigerator?,Ask_Clarification-Y,NA',"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ",refrigerator,no_strategy
0,5,1,The ice maker in this refrigerator is 12.5 cu. ft.,Provide_Clarification-Y,NA',"A refrigerator called Samsung 28 cu. ft. 4-Door French Door Refrigerator. This refrigerator boasts a massive 28 cu. ft. capacity and features a built-in ice maker, adjustable shelves, and a temperature-controlled drawer that can be customized for different types of food., (A Stand called Heavy Duty Refrigerator Stand. This stand is made of sturdy steel and can support up to 800 pounds. It is adjustable in size and can fit most refrigerators. It also has four locking wheels for easy mobility.,), ",refrigerator,no_strategy
