conversation_id,turn_no,speaker,utterance,intent,price,background_data,items,politeness_regressor,label,strategy
9,1,0,Is the display of the OnePlus 9 Pro screen type AMOLED?,Ask_Clarification-Y,NA',"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.166561,0,No_strategy
9,1,1,"Yes, the display of the OnePlus 9 Pro is an AMOLED screen.",Provide_Clarification-Y,NA',"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.2838228,7,Establish_credibility
9,2,0,I have no idea how to interpret that information. I will need to look into it more.,Negotiate-Price-Decrease,31400,"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.2786183,0,No_strategy
9,2,1,"I understand your budget constraints. However, I'm sorry I cannot reduce the price of the OnePlus 9 Pro. I'm sure that it is worth $31400.0 It has a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor. It also has a compact and comfortable design, making it ideal for everyday use. I'm sure that you will be pleased with it even for $42000.0",Negotiate-Price-NoChange,42000,"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.8325865,7,Establish_credibility
9,3,0,"$31400.0 is the biggest amount that I can go, I can afford it.",Negotiate-Price-NoChange,31400,"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.4091554,2,Boulware
9,3,1,"I understand that $31400.0 is too high for you. However, I'm willing to meet you in the middle at $33800.0 Is this acceptable?",Negotiate-Price-Increase,33800,"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.3349142,1,Conceder
9,4,0,"I do not want to buy the delivery from you, can we modify the deal and just buy the phone?",Negotiate-Remove-delivery,30900,"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.1826622,5,Logrolling
9,4,1,"I would be happy to modify the deal - I can do anything for you, you are my customer.",Negotiate-Remove-delivery,33300,"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",4.058047,0,No_strategy
9,5,0,What are the SmartPhone features of the OnePlus 9 Pro?,Ask_Clarification-Y,NA',"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.3604405,0,No_strategy
9,5,1,"The Smartphone features include a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor.",Provide_Clarification-Y,NA',"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.4568732,7,Establish_credibility
9,6,0,Does the OnePlus 9 Pro include 5G network connectivity?,Ask_Clarification-Y,NA',"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.342813,0,No_strategy
9,6,1,"Yes, the OnePlus 9 Pro includes 5G network connectivity.",Provide_Clarification-Y,NA',"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.4666274,7,Establish_credibility
9,7,0,I can afford the price of $30900.0,Accept,30900,"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",3.365105,2,Boulware
9,7,1,"I'm glad to hear that, I can assure you that you will be happy with your purchase. Let's proceed with the transaction!",Acknowledge acceptance,30900,"A SmartPhone called OnePlus 9 Pro. The OnePlus 9 Pro features a 6.7-inch AMOLED display, Snapdragon 888 chipset, 5G connectivity, up to 12GB of RAM, up to 256GB of storage, and a quad-camera system with 48MP primary sensor., (A Wireless Earphone called Jabra Elite 85t. These earphones come with advanced noise cancellation, customizable equalizer, and up to 5.5 hours of battery life. They also have a compact and comfortable design.,), ","SmartPhone, (Wireless Earphone,)",4.2670703,0,No_strategy
13,1,0,at other features does the HP Envy 6055e printer have?,Ask_Clarification-Y,NA',"A Printer called HP Envy 6055e. This all-in-one printer features wireless connectivity, automatic two-sided printing, and a 2.2-inch touchscreen display. It has a print speed of up to 10 pages per minute in black and white and up to 7 pages per minute in color., (""A Ink or toner cartridges called Brother LC3013BK Ink Cartridge . This black ink cartridge is compatible with Brother MFC-J491DW, MFC-J497DW, MFC-J690DW, MFC-J895DW printers. It features Brothers Innobella ink technology for high-quality and vivid prints."", A Wireless adapters called Linksys WUSB6300 . Supports dual-band (2.4GHz/5GHz) Wi-Fi, 802.11ac standard, up to 867Mbps wireless speeds, selectable dual-band, internal antenna, USB 3.0 interface.), ","Printer, (Ink or toner cartridges, Wireless adapters)",3.294189,0,No_strategy
