conversation_id,turn_no,speaker,utterance,negotiation_strategy
0,0,Traveler,I am interested in reserving the Wellness Retreat package. Could you please provide me with the associated details?,active_listening
0,1,Agent,"The package boasts an array of amenities, including Health Retreats, Fitness Classes, Relaxation Activities, Nature Walks, Spa Services, Yoga Sessions, and Meditation Practices. These offerings are designed to revitalize both your mind and body, resulting in a relaxed and stress-free state of being.",expanding_the_pie
0,2,Traveler,Could you provide me with additional information regarding the package?,active_listening
0,3,Agent,"The cost of the package is $15,000.",no_strategy
0,4,Traveler,"I am willing to enhance the package price to $15,000.",gradual_concession_making
0,5,Agent,"You need not compromise on any aspect. Even the most luxurious hotel can be included with this amount. The updated amenities include Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. The previous amenities remain unchanged.",no_strategy
0,6,Traveler,"I will proceed with this budget, but I expect to be charged fairly and reasonably.",no_strategy
0,7,Agent,"With regards to your budget, you have the option to choose from Accommodation, Healthy Cuisine, and Yoga and Meditation, along with various amenities such as Healing Therapies, Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks. You are guaranteed to have a satisfying experience.",expanding_the_pie
0,8,Traveler,"I appreciate your suggestion, but I would rather choose to explore various cities instead of spending the entire day at a Spa resort.",active_listening
0,9,Agent,We appreciate your time. We are regretfully removing the Spa Resort service from our offerings.,no_strategy
0,10,Traveler,Please provide information on the accommodation facilities available at the Wellness Retreat.,active_listening
0,11,Agent,"The package provides a diverse range of amenities, including Relaxation Areas, Mindfulness Spaces, Spa access, Fitness classes, and Nature walks, thereby enabling you to partake in both exhilarating adventures and serene leisure activities.",expanding_the_pie
0,12,Traveler,"I have a predetermined budget that I am willing to adhere to, and I kindly request that you refrain from misleading me regarding the costs associated with the Wellness Retreat.",no_strategy
0,13,Agent,"We also provide the option to purchase individual services and facilities separately, priced at $19,000. If you require additional amenities, please provide us with your budget, and we will tailor the package to meet your needs.",expanding_the_pie
